file_id,filename,file_type,exact_size_bytes,nominal_size_label,sha256_plaintext
F01,synthetic_docx_128KB.bin,docx,131072,128KB,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091
F02,synthetic_docx_256KB.bin,docx,262144,256KB,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d
F03,synthetic_docx_512KB.bin,docx,524288,512KB,8a06cdab9a8bbb7bdfeb403cbc21e3ad2b7af9cc8ffcd4226f053f9cd7105388
F04,synthetic_docx_64KB.bin,docx,65536,64KB,4c989d5e41e6825ab8b8bc3695c2e4017297d6e79e664df3e22630883df032ed
F05,synthetic_jpeg_128KB.bin,jpeg,131072,128KB,b14a240a549ad4d8e03487fe363d279762bac04465bc05706f0993f8d00ee325
F06,synthetic_jpeg_256KB.bin,jpeg,262144,256KB,237e1050346c4ad523289f4ecf66b9d3e47b7e355de10bd4769126a18a17f1c1
F07,synthetic_jpeg_512KB.bin,jpeg,524288,512KB,2929dac64463122698359b040a0e96758727636594994c770e59c9a6cb61a842
F08,synthetic_jpeg_64KB.bin,jpeg,65536,64KB,b4c43a1387fb539bfafdc81ba77f68c2fbd604fb3bede5a9e443d393e07e027d
F09,synthetic_pdf_128KB.bin,pdf,131072,128KB,91cdc799f945bbef7e56cd4a5dff67f2652b7e02d782d13bb762bf1c615cc9ea
F10,synthetic_pdf_256KB.bin,pdf,262144,256KB,008b038a19b2a561d5101632410762dc75f99ba6abc816a6bda921a2f33e3a66
F11,synthetic_pdf_512KB.bin,pdf,524288,512KB,43c71eeff910b0b34dad288c178953a2d355faab4f229a9dd11466fa24ec6f0d
F12,synthetic_pdf_64KB.bin,pdf,65536,64KB,bedfd307108e0044581c9f1e3280483bb12c1e698ff195678aecc413f09b4a5d
