file_id,filename,file_type,nominal_size_label,exact_size_bytes,sha256_plaintext,sha256_ciphertext,sha256_decrypted,reconstruction_exact_match,access_status,distribution
docx_01,Doc_Small.docx,DOCX,1MB,1048574,bb0fdba48b93beb7a92ed4a50e2b67b7dfc6fab73a9706725eeb4e9846d1b64c,e3f19b8182921d93c8bfde585332fd09f719abbb032f8b50af433c40293ad4bd,bb0fdba48b93beb7a92ed4a50e2b67b7dfc6fab73a9706725eeb4e9846d1b64c,True,public,committed in repository
docx_02,Doc_Medium.docx,DOCX,10MB,10485758,64a2546ce62211e0a75d4392006a4283455a05027ff82d8b958593b6b4b1e076,51132f6bbfec3e2b4563ce6009e2111b218830ffe2b51f2f8a6309bc905eeaea,64a2546ce62211e0a75d4392006a4283455a05027ff82d8b958593b6b4b1e076,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
docx_03,Doc_Large.docx,DOCX,50MB,52429270,436553093ac1564279ad41277948a26a32953a76c54d9ccd54444a4ccbc1695d,5f5a0a4eab33ecad7817930abcb8b791a91cd3fc19bda616c94c647187732b02,436553093ac1564279ad41277948a26a32953a76c54d9ccd54444a4ccbc1695d,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
docx_04,Doc_Huge.docx,DOCX,100MB,104858660,95ea53e996f4fb7beef3871c9cdbada9a649f4d3dd7059e08d574ec0e4ce7300,d74bf75d4a0aa13b919c117d2612d57cdc87f393751448cefff3e087300fab90,95ea53e996f4fb7beef3871c9cdbada9a649f4d3dd7059e08d574ec0e4ce7300,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
jpeg_01,Img_Small.jpg,JPEG,1MB,1048640,622ca503a43ef5e81415e97f7dcd44eb2119b17cb0685741749d6cc99c8b264f,3f34a67a0f15c12a3f40816fcfccb7eeebb995d02ee1e1e26134dc2fb92b8e99,622ca503a43ef5e81415e97f7dcd44eb2119b17cb0685741749d6cc99c8b264f,True,public,committed in repository
jpeg_02,Img_Medium.jpg,JPEG,10MB,10486400,91160ef2aebbf6e779b3e5b9f4fbb0b4a4f015d3ac96892c8c66bc0d24a9c486,93e0ff3a21ca15d403971973dfb954bad76018fcdf1a91f2e8bf6ffa2341e0b5,91160ef2aebbf6e779b3e5b9f4fbb0b4a4f015d3ac96892c8c66bc0d24a9c486,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
jpeg_03,Img_Large.jpg,JPEG,50MB,52432000,191d6755a9c2f63b3d414aacfc9f9ad0100b0532a8604103a7a8e62c203f408f,1638f40d2a2c9de673c7783a6d8c7f705d471eb98d1640a44e31d27757281864,191d6755a9c2f63b3d414aacfc9f9ad0100b0532a8604103a7a8e62c203f408f,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
jpeg_04,Img_Huge.jpg,JPEG,100MB,104864000,19b491b0464a628a5925ab514f1dac86df8859eb30734d44f51d4ded5fd26a64,2c09c9634fbbb54da24841ebbc7658a967c2552cfdb81cdf182bc2576d54b9bf,19b491b0464a628a5925ab514f1dac86df8859eb30734d44f51d4ded5fd26a64,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
pdf_01,PDF_Small.pdf,PDF,1MB,1048703,f9331b23a1ba6e9617406df05b0a9047f65ab1452583fc5cfd4fe414f6c9e50c,c8b4c13e9c78398fad319cce4ecfa3e5be9bd4c606d4e81a9133a741499065e9,f9331b23a1ba6e9617406df05b0a9047f65ab1452583fc5cfd4fe414f6c9e50c,True,public,committed in repository
pdf_02,PDF_Medium.pdf,PDF,10MB,10486289,494f8d4a38ef17c4fec43ff160b60269e7c712d484cc27aaa76f623226bcb351,b24c1cfdea72c7fe9ff3da12e1565b209596981e85f3df3f53f86f0530c35e00,494f8d4a38ef17c4fec43ff160b60269e7c712d484cc27aaa76f623226bcb351,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
pdf_03,PDF_Large.pdf,PDF,50MB,52432048,a2742d87abaf59125ad1a0b557d2bab48a414cfe6b401b094f5e2313bbb73ee6,5d2cebd98253e3dbe21f9d5e8044c282eaa987f8025ac418446ee3f6bb065b40,a2742d87abaf59125ad1a0b557d2bab48a414cfe6b401b094f5e2313bbb73ee6,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
pdf_04,PDF_Huge.pdf,PDF,100MB,104862244,e3bf8354c18158360c8ff500bd600ffe966977bf0324214b10aec47152926bba,8c69c77492978bfe849ee3ff512da62f24d8eb52983dfa42a069da8f4f4856dc,e3bf8354c18158360c8ff500bd600ffe966977bf0324214b10aec47152926bba,True,public,regenerable bit-exactly: python scripts/benchmark_real_files.py --generate-only
