filename,file_type,nominal_size_label,target_size_bytes,exact_size_bytes,sha256,generator,seed
synthetic_docx_64KB.bin,docx,64KB,65536,65536,4c989d5e41e6825ab8b8bc3695c2e4017297d6e79e664df3e22630883df032ed,splitmix64,11497397959763888660
synthetic_docx_128KB.bin,docx,128KB,131072,131072,aeaf527f4f51773cd3bcbf099f696556685a1121b72cad86c1b54c7d99f02091,splitmix64,13903464489506987329
synthetic_docx_256KB.bin,docx,256KB,262144,262144,47db2a9e7f9afb9e5c0d98dd0cf723899c22f21849af26623bd8492db608343d,splitmix64,12789631761079562842
synthetic_docx_512KB.bin,docx,512KB,524288,524288,8a06cdab9a8bbb7bdfeb403cbc21e3ad2b7af9cc8ffcd4226f053f9cd7105388,splitmix64,13793477811614977483
synthetic_pdf_64KB.bin,pdf,64KB,65536,65536,bedfd307108e0044581c9f1e3280483bb12c1e698ff195678aecc413f09b4a5d,splitmix64,14360888933360334433
synthetic_pdf_128KB.bin,pdf,128KB,131072,131072,91cdc799f945bbef7e56cd4a5dff67f2652b7e02d782d13bb762bf1c615cc9ea,splitmix64,2494279853747959366
synthetic_pdf_256KB.bin,pdf,256KB,262144,262144,008b038a19b2a561d5101632410762dc75f99ba6abc816a6bda921a2f33e3a66,splitmix64,6260166766726791557
synthetic_pdf_512KB.bin,pdf,512KB,524288,524288,43c71eeff910b0b34dad288c178953a2d355faab4f229a9dd11466fa24ec6f0d,splitmix64,13813006170256554176
synthetic_jpeg_64KB.bin,jpeg,64KB,65536,65536,b4c43a1387fb539bfafdc81ba77f68c2fbd604fb3bede5a9e443d393e07e027d,splitmix64,17575680588727379096
synthetic_jpeg_128KB.bin,jpeg,128KB,131072,131072,b14a240a549ad4d8e03487fe363d279762bac04465bc05706f0993f8d00ee325,splitmix64,13322593039900192261
synthetic_jpeg_256KB.bin,jpeg,256KB,262144,262144,237e1050346c4ad523289f4ecf66b9d3e47b7e355de10bd4769126a18a17f1c1,splitmix64,9357890423744681937
synthetic_jpeg_512KB.bin,jpeg,512KB,524288,524288,2929dac64463122698359b040a0e96758727636594994c770e59c9a6cb61a842,splitmix64,3417944069392841088
