file_id,filename,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_seconds,decryption_time_seconds,encryption_throughput_mb_s,decryption_throughput_mb_s
docx_01,Doc_Small.docx,1048574,1048574,0.300974,0.265344,3.3225,3.7687
docx_02,Doc_Medium.docx,10485758,10485758,2.885063,2.892734,3.4661,3.4569
docx_03,Doc_Large.docx,52429270,52429270,14.578332,15.326825,3.4298,3.2623
docx_04,Doc_Huge.docx,104858660,104858660,29.170119,29.518174,3.4282,3.3878
jpeg_01,Img_Small.jpg,1048640,1048640,0.285982,0.302250,3.4969,3.3087
jpeg_02,Img_Medium.jpg,10486400,10486400,3.063358,3.059180,3.2646,3.2690
jpeg_03,Img_Large.jpg,52432000,52432000,15.816025,14.811049,3.1615,3.3761
jpeg_04,Img_Huge.jpg,104864000,104864000,30.674950,29.393641,3.2602,3.4023
pdf_01,PDF_Small.pdf,1048703,1048703,0.292235,0.267548,3.4223,3.7381
pdf_02,PDF_Medium.pdf,10486289,10486289,2.911804,3.052387,3.4345,3.2763
pdf_03,PDF_Large.pdf,52432048,52432048,15.318950,14.469783,3.2641,3.4557
pdf_04,PDF_Huge.pdf,104862244,104862244,32.824247,30.213869,3.0467,3.3099
